state,postal_code,web_id,class,state_id,inc,inc_party,state_pvi,elasticity,third_index,terms,prev_margin,beat_inc,prev_inc,adj_prev_margin,pvi_&_prev,vs_pvi,population,diversity_index,term_adj,oth_adj,inc_bump,neutral_margin,cnalysis,cook,inside,sabato,rep_nominee,dem_nominee,rep_nom_id,dem_nom_id,,
Kansas,KS,kansas,Class III,KS,Jerry Moran,R,20.2,1,1.29,2010,29.9,0,-1.5,30.4,22.8,2.6,"2,911,505",0.224,0.775,,3.09,25.84,Solid R,Solid R,Solid R,Solid R,Jerry Moran,DEM_CAND,Jerry Moran,DEM_CAND,,
Kentucky,KY,kentucky,Class III,KY,Rand Paul,R,30.9,0.94,0.77,2010,14.6,0,-1.5,15.1,27.0,-4.0,"4,468,402",0.215,0.775,,2.71,29.66,Solid R,Solid R,Solid R,Solid R,Rand Paul,DEM_CAND,Rand Paul,DEM_CAND,,
Louisiana,LA,louisiana,Class III,LA,John Kennedy,R,22.7,0.96,0.93,2016,21.3,0,0,23.3,22.9,0.1,"4,659,978",0.492,0.548,,2.79,25.64,Solid R,Solid R,Solid R,Solid R,John Kennedy,DEM_CAND,John Kennedy,DEM_CAND,,
Maryland,MD,maryland,Class III,MD,Chris Van Hollen,D,-27.4,0.96,0.87,2016,-25.2,0,0,-23.2,-26.4,1.1,"6,042,718",0.535,0.548,,2.60,-28.95,Solid D,Solid D,Solid D,Solid D,REP_CAND,Chris Van Hollen,REP_CAND,Chris Van Hollen,,
Missouri,MO,missouri,Class III,MO,OPEN,R,20.1,0.95,0.73,-,-,0,0,-,20.1,0.0,"6,126,452",0.290,-,,0.00,20.10,Solid R,Solid R,Solid R,Solid R,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
Nevada,NV,nevada,Class III,NV,Catherine Cortez Mastro,D,1.4,1.08,1.32,2016,-2.4,0,0,-0.4,1.0,-0.5,"3,034,392",0.285,0.548,,2.93,-1.98,Tossup,Tossup,Tossup,Tossup,REP_CAND,Catherine Cortez Mastro,REP_CAND,Catherine Cortez Mastro,,
New Hampshire,NH,new-hampshire,Class III,NH,Maggie Hassan,D,-1.5,1.15,1.06,2016,-0.1,-2,0,-0.1,-1.2,0.4,"1,356,458",0.116,0.548,,3.30,-4.45,Lean D,Lean D,Tilt R,Lean D,REP_CAND,Maggie Hassan,REP_CAND,Maggie Hassan,,
New York,NY,new-york,Class III,NY,Chuck Schumer,D,-19.1,0.97,1.26,1998,-43,0,1.5,-39.5,-24.2,-5.1,"19,542,209",0.411,1.095,,2.31,-26.51,Solid D,Solid D,Solid D,Solid D,REP_CAND,Chuck Schumer,REP_CAND,Chuck Schumer,,
North Carolina,NC,north-carolina,Class III,NC,OPEN,R,5.8,0.98,0.50,-,-,0,0,-,5.8,0.0,"10,383,620",0.432,-,,0.00,5.80,Very Likely R,Lean R,Lean R,Lean R,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
North Dakota,ND,north-dakota,Class III,ND,John Hoeven,R,37.9,0.98,1.48,2010,61.4,0,-1.5,61.9,43.9,6.0,"760,077",0.211,0.775,,4.69,48.59,Solid R,Solid R,Solid R,Solid R,John Hoeven,DEM_CAND,John Hoeven,DEM_CAND,,
Ohio,OH,ohio,Class III,OH,OPEN,D,11.8,1.02,0.99,-,-,0,1.5,3.5,9.7,-2.1,"11,689,442",0.298,-,,0.00,9.73,Solid R,Lean R,Solid R,Solid R,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
Oklahoma,OK,oklahoma,Class III,OK,James Lankford,R,38.1,0.94,0.55,2014,20.9,0,-1.5,21.4,33.9,-4.2,"3,943,079",0.421,0.632,,2.96,36.88,Solid R,Solid R,Solid R,Solid R,James Lankford,DEM_CAND,James Lankford,DEM_CAND,,
Oklahoma*,OK*,oklahoma-special,Class II,OKS,OPEN,R,38.1,0.94,0.55,-,-,0,0,-,38.1,0.0,"3,943,079",0.421,-,,0.00,38.10,Solid R,Solid R,Solid R,Solid R,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
Oregon,OR,oregon,Class III,OR,Ron Wyden,D,-10.8,1,1.65,1996,-22.7,0,1.5,-19.2,-12.9,-2.1,"4,190,713",0.209,1.140,,3.11,-16.01,Solid D,Solid D,Solid D,Solid D,REP_CAND,Ron Wyden,REP_CAND,Ron Wyden,,
Pennsylvania,PA,pennsylvania,Class III,PA,OPEN,R,3.2,1,0.83,-,-,0,0,-,3.2,0.0,"12,807,060",0.296,-,,0.00,3.20,Tilt R,Tossup,Tilt R,Tossup,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
South Carolina,SC,south-carolina,Class III,SC,Tim Scott,R,16.2,0.97,0.75,2013,22.5,0,-1.5,23,17.9,1.7,"5,084,127",0.452,0.671,,2.80,20.70,Solid R,Solid R,Solid R,Solid R,Tim Scott,DEM_CAND,Tim Scott,DEM_CAND,,
South Dakota,SD,south-dakota,Class III,SD,John Thune,R,31,1.01,1.02,2004,43.6,0,-1.5,44.1,34.3,3.3,"882,235",0.261,0.949,,4.79,39.07,Solid R,Solid R,Solid R,Solid R,John Thune,DEM_CAND,John Thune,DEM_CAND,,
Utah,UT,utah,Class III,UT,Mike Lee,R,23.5,1.06,2.00,2010,41,0,-1.5,41.5,28.0,4.5,"3,161,105",0.141,0.775,,2.81,30.81,Solid R,Solid R,Solid R,Solid R,Mike Lee,DEM_CAND,Mike Lee,DEM_CAND,,
Vermont,VT,vermont,Class III,VT,OPEN,D,-28.9,1.12,1.77,-,-,0,0,-,-28.9,0.0,"626,299",0.101,-,,0.00,-28.90,Solid D,Solid D,Solid D,Solid D,REP_CAND,DEM_CAND,REP_CAND,DEM_CAND,,
Washington,WA,washington,Class III,WA,Patty Murray,D,-14.4,1,1.51,1992,-18,0,1.5,-14.5,-14.4,0.0,"7,614,893",0.328,1.225,,2.92,-17.35,Solid D,Solid D,Solid D,Solid D,REP_CAND,Patty Murray,REP_CAND,Patty Murray,,
Wisconsin,WI,wisconsin,Class III,WI,Ron Johnson,R,3.6,1.07,1.04,2010,3.4,0,-1.5,3.9,3.7,0.1,"5,813,568",0.222,0.775,,2.52,6.20,Lean R,Tossup,Tilt R,Lean R,Ron Johnson,DEM_CAND,Ron Johnson,DEM_CAND,,
